channel_name,category,Sub-category,mean,median,std,min,max,count
Email,Offers & Cashback,Instant discount,31999.0,31999.0,,31999.0,31999.0,1
Email,Offers & Cashback,Affiliate Offers,32999.0,32999.0,,32999.0,32999.0,1
Email,Payments related,Card/EMI,23999.0,23999.0,,23999.0,23999.0,1
Email,Order Related,Priority delivery,29999.0,29999.0,,29999.0,29999.0,1
Email,Product Queries,Warranty related,10499.0,10499.0,,10499.0,10499.0,1
Email,Returns,Self-Help,7212.0,7212.0,,7212.0,7212.0,1
Email,Returns,General Enquiry,48999.0,48999.0,,48999.0,48999.0,1
Email,Returns,Product related Issues,899.0,899.0,,899.0,899.0,1
Email,Returns,Service Center - Service Denial,2299.0,2299.0,,2299.0,2299.0,1
Email,Shopzilla Related,Shopzila Premium Related,349.0,349.0,,349.0,349.0,1
Inbound,Product Queries,Policy Related,1449.0,1449.0,,1449.0,1449.0,1
Email,Shopzilla Related,Shopzilla Rewards,29999.0,29999.0,,29999.0,29999.0,1
Outcall,Offers & Cashback,Affiliate Offers,10000.0,10000.0,,10000.0,10000.0,1
Outcall,Offers & Cashback,Other Cashback,8.0,8.0,,8.0,8.0,1
Outcall,Others,Others,300.0,300.0,,300.0,300.0,1
Inbound,Returns,Self-Help,1599.0,1599.0,,1599.0,1599.0,1
Outcall,Payments related,Wallet related,17390.0,17390.0,,17390.0,17390.0,1
Outcall,Product Queries,Product Specific Information,1999.0,1999.0,,1999.0,1999.0,1
Outcall,Returns,Self-Help,205.0,205.0,,205.0,205.0,1
Outcall,Returns,Product related Issues,237.0,237.0,,237.0,237.0,1
Outcall,Refund Related,COD Refund Details,296.0,296.0,66.46803743153546,249.0,343.0,2
Outcall,Shopzilla Related,Shopzilla Rewards,40494.5,40494.5,12014.45131914063,31999.0,48990.0,2
Outcall,Payments related,Card/EMI,22249.0,22249.0,15202.795795510772,11499.0,32999.0,2
Outcall,Order Related,Unable to track,1224.0,1224.0,388.90872965260115,949.0,1499.0,2
Email,Payments related,Payment related Queries,1384.0,1384.0,120.20815280171308,1299.0,1469.0,2
Inbound,Payments related,Online Payment Issues,344.0,344.0,77.78174593052023,289.0,399.0,2
Email,Order Related,General Enquiry,1999.5,1999.5,0.7071067811865476,1999.0,2000.0,2
Email,Others,Call disconnected,217.0,217.0,82.02438661763951,159.0,275.0,2
Email,Order Related,Unable to track,709.3333333333334,439.0,652.9167889810565,235.0,1454.0,3
Email,Order Related,Customer Requested Modifications,5380.666666666667,1144.0,7464.047717782445,999.0,13999.0,3
Inbound,Returns,General Enquiry,2080.6666666666665,1699.0,687.2105451266979,1669.0,2874.0,3
Outcall,Others,Call disconnected,7873.0,2899.0,11017.037124381492,220.0,20500.0,3
Inbound,Shopzilla Related,Shopzilla Rewards,10198.666666666666,449.0,17148.252107236276,148.0,29999.0,3
Outcall,Order Related,General Enquiry,639.25,278.5,933.5753406483414,1.0,1999.0,4
Inbound,Product Queries,Product Specific Information,17396.25,1502.0,32680.50563026833,173.0,66408.0,4
Inbound,Payments related,Card/EMI,29829.25,25659.5,17588.05447597886,14999.0,52999.0,4
Email,Returns,Damaged,5059.25,578.5,9297.167754214182,81.0,18999.0,4
Email,Order Related,Invoice request,8134.0,8999.0,6298.246025680483,33.0,14490.0,5
Inbound,Order Related,Order Verification,10240.8,70.0,22229.160053857184,68.0,49999.0,5
Inbound,Others,Others,5053.0,1579.0,7150.06017457196,135.0,16990.0,5
Inbound,Refund Related,COD Refund Details,628.8333333333334,553.5,281.5964606785154,323.0,1104.0,6
Inbound,Others,Call back request,813.1666666666666,598.5,708.3426901342785,196.0,2198.0,6
Inbound,Returns,Service Center - Service Denial,1516.6666666666667,899.0,1541.840026288936,254.0,4350.0,6
Inbound,Shopzilla Related,General Enquiry,10591.833333333334,303.0,18209.785373986884,209.0,44999.0,6
Inbound,Shopzilla Related,Shopzila Premium Related,9661.57142857143,1799.0,12600.380891824168,24.0,32999.0,7
Outcall,Payments related,Payment related Queries,8356.0,1750.0,17978.210413349454,100.0,48990.0,7
Inbound,Offers & Cashback,Instant discount,9698.285714285714,899.0,13147.76847623816,134.0,33920.0,7
Outcall,Order Related,Seller Cancelled Order,9952.375,188.5,27495.733824605803,65.0,77999.0,8
Email,Returns,Technician Visit,28658.222222222223,5999.0,51900.59685056083,1954.0,159990.0,9
Inbound,Others,Call disconnected,4031.1,944.5,10194.507502136194,65.0,32999.0,10
Outcall,Returns,Damaged,191.4,76.5,218.53410616092756,25.0,625.0,10
