category,Sub-category,mean,median,std,min,max,count
Product Queries,Policy Related,1449.0,1449.0,,1449.0,1449.0,1
Payments related,Online Payment Issues,344.0,344.0,77.78174593052023,289.0,399.0,2
Returns,Self-Help,3005.3333333333335,1599.0,3709.1565528207802,205.0,7212.0,3
Returns,General Enquiry,13810.25,2286.5,23465.876066819525,1669.0,48999.0,4
Order Related,Order Verification,10240.8,70.0,22229.160053857184,68.0,49999.0,5
Product Queries,Product Specific Information,14316.8,1502.0,29127.764207024196,173.0,66408.0,5
Others,Call back request,813.1666666666666,598.5,708.3426901342785,196.0,2198.0,6
Others,Others,4260.833333333333,939.5,6683.102316040558,135.0,16990.0,6
Shopzilla Related,General Enquiry,10591.833333333334,303.0,18209.785373986884,209.0,44999.0,6
Shopzilla Related,Shopzilla Rewards,23597.333333333332,29999.0,19406.466784725824,148.0,48990.0,6
Payments related,Card/EMI,26830.571428571428,23999.0,14405.50626042166,11499.0,52999.0,7
Returns,Service Center - Service Denial,1628.4285714285713,899.0,1438.2259740322286,254.0,4350.0,7
Refund Related,COD Refund Details,545.625,484.5,284.62202379396336,249.0,1104.0,8
Offers & Cashback,Instant discount,12485.875,6444.5,14502.903752968132,134.0,33920.0,8
Shopzilla Related,Shopzila Premium Related,8497.5,1182.0,12121.415994605815,24.0,32999.0,8
Payments related,Wallet related,16596.272727272728,14999.0,11469.013384689279,1.0,32990.0,11
Product Queries,Warranty related,7559.909090909091,6536.0,7803.5411507154295,1.0,25999.0,11
Others,Call disconnected,4290.933333333333,869.0,9450.893362660536,65.0,32999.0,15
Returns,Product related Issues,553.3157894736842,466.0,495.00370959682704,26.0,2134.0,19
Offers & Cashback,Affiliate Offers,20782.869565217392,19999.0,21983.344663019834,299.0,99999.0,23
Offers & Cashback,Other Cashback,11577.57142857143,1849.0,19584.667853211984,8.0,84990.0,28
Payments related,Payment related Queries,4878.482758620689,988.0,10707.403632269356,28.0,48990.0,29
Cancellation,Return cancellation,1218.7777777777778,899.0,1182.991658251259,190.0,6409.0,36
Order Related,General Enquiry,2220.8,500.0,7024.800430416473,1.0,34480.0,40
Order Related,Unable to track,4374.926829268293,1249.0,7018.650295428045,235.0,25999.0,41
Order Related,Seller Cancelled Order,10366.333333333334,593.0,19641.67195165109,24.0,81990.0,78
Returns,Damaged,5043.689655172414,408.0,16007.04827191167,15.0,129999.0,87
Returns,Technician Visit,22685.514563106797,13032.0,25896.86064737368,999.0,159990.0,103
Order Related,Customer Requested Modifications,7291.701923076923,840.0,15167.663460534559,22.0,68999.0,104
Order Related,Invoice request,15501.26050420168,9999.0,18991.344579571953,33.0,108490.0,119
Returns,Exchange / Replacement,27833.941176470587,26999.0,17521.096412818293,1800.0,107910.0,187
Order Related,Priority delivery,7474.2018779342725,1000.0,15706.566551040378,38.0,115990.0,213
Returns,Missing,1036.8977556109726,581.0,2068.386288153147,45.0,24999.0,401
Returns,Service Centres Related,9257.371111111112,1999.0,14350.629912609966,185.0,127999.0,450
Order Related,Installation/demo,11472.025052192066,7499.0,12030.900874362796,68.0,69999.0,479
Feedback,UnProfessional Behaviour,4059.9888475836433,499.0,11466.593612749593,9.0,127999.0,538
Refund Related,Refund Related Issues,7077.496441281139,989.0,12271.111893196668,0.0,79999.0,562
Returns,Wrong,2591.34179357022,1199.0,5784.778519844738,99.0,76990.0,591
Refund Related,Refund Enquiry,5729.677257525083,798.0,13228.332291610717,15.0,117999.0,598
Cancellation,Not Needed,8523.485639686683,1259.5,15527.045644746504,9.0,109990.0,766
Returns,Fraudulent User,2074.0726817042605,793.5,5120.768667522399,9.0,59999.0,798
Order Related,Order status enquiry,10138.97908496732,1266.5,18822.668869210047,1.0,134990.0,1530
Returns,Return request,2093.0644599303137,999.0,5633.9257975086275,9.0,90990.0,1722
Order Related,Delayed,6214.925170068027,699.0,13952.481684911081,9.0,164999.0,3675
Returns,Reverse Pickup Enquiry,2761.1421188630493,779.0,7794.9953343843845,1.0,134999.0,3870
